  -18.8560829       1.89596260       3.24973488       1.00000000    
  -18.8520832       1.90898287       3.26042128       1.00000000    
  -18.8480835       1.92204595       3.27110314       1.00000000    
  -18.8440838       1.93515170       3.28178048       1.00000000    
  -18.8400841       1.94830012       3.29245305       1.00000000    
  -18.8360844       1.96149123       3.30312109       1.00000000    
  -18.8320847       1.97472501       3.31378436       1.00000000    
  -18.8280849       1.98800147       3.32444310       1.00000000    
  -18.8240852       2.00132060       3.33509731       1.00000000    
  -18.8200855       2.01468229       3.34574676       1.00000000    
  -18.8160858       2.02808666       3.35639167       1.00000000    
  -18.8120861       2.04153347       3.36703205       1.00000000    
  -18.8080864       2.05502295       3.37766767       1.00000000    
  -18.8040867       2.06855488       3.38829875       1.00000000    
  -18.8000870       2.08212924       3.39892530       1.00000000    
  -18.7960873       2.09574628       3.40954709       1.00000000    
  -18.7920876       2.10940576       3.42016435       1.00000000    
  -18.7880878       2.12310767       3.43077707       1.00000000    
  -18.7840881       2.13685203       3.44138527       1.00000000    
  -18.7800884       2.15063882       3.45198870       1.00000000    
  -18.7760887       2.16446805       3.46258759       1.00000000    
  -18.7720890       2.17833948       3.47318196       1.00000000    
  -18.7680893       2.19225335       3.48377156       1.00000000    
  -18.7640896       2.20620966       3.49435663       1.00000000    
  -18.7600899       2.22020817       3.50493717       1.00000000    
  -18.7560902       2.23424911       3.51551318       1.00000000    
  -18.7520905       2.24833226       3.52608442       1.00000000    
  -18.7480907       2.26245785       3.53665113       1.00000000    
  -18.7440910       2.27662563       3.54721332       1.00000000    
  -18.7400913       2.29083562       3.55777073       1.00000000    
  -18.7360916       2.30508780       3.56832361       1.00000000    
  -18.7320919       2.31938219       3.57887197       1.00000000    
  -18.7280922       2.33371878       3.58941579       1.00000000    
  -18.7240925       2.34809756       3.59995484       1.00000000    
  -18.7200928       2.36251855       3.61048937       1.00000000    
  -18.7160931       2.37698150       3.62101936       1.00000000    
  -18.7120934       2.39148664       3.63154483       1.00000000    
  -18.7080936       2.40603375       3.64206576       1.00000000    
  -18.7040939       2.42062306       3.65258193       1.00000000    
  -18.7000942       2.43525434       3.66309357       1.00000000    
  -18.6960945       2.44992781       3.67360067       1.00000000    
  -18.6920948       2.46464324       3.68410325       1.00000000    
  -18.6880951       2.47940063       3.69460106       1.00000000    
  -18.6840954       2.49419999       3.70509434       1.00000000    
  -18.6800957       2.50904131       3.71558309       1.00000000    
  -18.6760960       2.52392459       3.72606730       1.00000000    
  -18.6720963       2.53884983       3.73654699       1.00000000    
  -18.6680965       2.55381703       3.74702191       1.00000000    
  -18.6640968       2.56882596       3.75749230       1.00000000    
  -18.6600971       2.58387685       3.76795816       1.00000000    
  -18.6560974       2.59896970       3.77841949       1.00000000    
  -18.6520977       2.61410427       3.78887630       1.00000000    
  -18.6480980       2.62928057       3.79932857       1.00000000    
  -18.6440983       2.64449883       3.80977607       1.00000000    
  -18.6400986       2.65975881       3.82021904       1.00000000    
  -18.6360989       2.67506051       3.83065748       1.00000000    
  -18.6320992       2.69040394       3.84109139       1.00000000    
  -18.6280994       2.70578909       3.85152078       1.00000000    
  -18.6240997       2.72121596       3.86194563       1.00000000    
  -18.6201000       2.73668456       3.87236595       1.00000000    
  -18.6161003       2.75219488       3.88278151       1.00000000    
  -18.6121006       2.76774693       3.89319253       1.00000000    
  -18.6081009       2.78334045       3.90359902       1.00000000    
  -18.6041012       2.79897571       3.91400099       1.00000000    
  -18.6001015       2.81465244       3.92439842       1.00000000    
  -18.5961018       2.83037090       3.93479133       1.00000000    
  -18.5921021       2.84613085       3.94517970       1.00000000    
  -18.5881023       2.86193228       3.95556355       1.00000000    
  -18.5841026       2.87777519       3.96594286       1.00000000    
  -18.5801029       2.89365983       3.97631741       1.00000000    
  -18.5761032       2.90958595       3.98668742       1.00000000    
  -18.5721035       2.92555332       3.99705291       1.00000000    
  -18.5681038       2.94156218       4.00741386       1.00000000    
  -18.5641041       2.95761251       4.01777029       1.00000000    
  -18.5601044       2.97370434       4.02812195       1.00000000    
  -18.5561047       2.98983741       4.03846931       1.00000000    
  -18.5521049       3.00601196       4.04881191       1.00000000    
  -18.5481052       3.02222800       4.05915022       1.00000000    
  -18.5441055       3.03848529       4.06948376       1.00000000    
  -18.5401058       3.05478382       4.07981300       1.00000000    
  -18.5361061       3.07112384       4.09013748       1.00000000    
  -18.5321064       3.08750510       4.10045767       1.00000000    
  -18.5281067       3.10392761       4.11077309       1.00000000    
  -18.5241070       3.12039137       4.12108421       1.00000000    
  -18.5201073       3.13689637       4.13139057       1.00000000    
  -18.5161076       3.15344262       4.14169264       1.00000000    
  -18.5121078       3.17002988       4.15198994       1.00000000    
  -18.5081081       3.18665838       4.16228294       1.00000000    
  -18.5041084       3.20332813       4.17257118       1.00000000    
  -18.5001087       3.22003889       4.18285513       1.00000000    
  -18.4961090       3.23679090       4.19313431       1.00000000    
  -18.4921093       3.25358391       4.20340919       1.00000000    
  -18.4881096       3.27041817       4.21367931       1.00000000    
  -18.4841099       3.28729343       4.22394514       1.00000000    
  -18.4801102       3.30420971       4.23420620       1.00000000    
  -18.4761105       3.32116699       4.24446297       1.00000000    
  -18.4721107       3.33816528       4.25471497       1.00000000    
  -18.4681110       3.35520458       4.26496267       1.00000000    
  -18.4641113       3.37228489       4.27520561       1.00000000    
  -18.4601116       3.38940620       4.28544426       1.00000000    
  -18.4561119       3.40656853       4.29567814       1.00000000    
  -18.4521122       3.42377162       4.30590773       1.00000000    
  -18.4481125       3.44101572       4.31613255       1.00000000    
  -18.4441128       3.45830059       4.32635307       1.00000000    
  -18.4401131       3.47562647       4.33656883       1.00000000    
  -18.4361134       3.49299312       4.34678030       1.00000000    
  -18.4321136       3.51040077       4.35698700       1.00000000    
  -18.4281139       3.52784920       4.36718941       1.00000000    
  -18.4241142       3.54533839       4.37738705       1.00000000    
  -18.4201145       3.56286836       4.38758039       1.00000000    
  -18.4161148       3.58043909       4.39776945       1.00000000    
  -18.4121151       3.59805059       4.40795374       1.00000000    
  -18.4081154       3.61570287       4.41813374       1.00000000    
  -18.4041157       3.63339567       4.42830896       1.00000000    
  -18.4001160       3.65112925       4.43847990       1.00000000    
  -18.3961163       3.66890359       4.44864607       1.00000000    
  -18.3921165       3.68671846       4.45880795       1.00000000    
  -18.3881168       3.70457411       4.46896505       1.00000000    
  -18.3841171       3.72247028       4.47911787       1.00000000    
  -18.3801174       3.74040699       4.48926592       1.00000000    
  -18.3761177       3.75838423       4.49940968       1.00000000    
  -18.3721180       3.77640224       4.50954914       1.00000000    
  -18.3681183       3.79446077       4.51968384       1.00000000    
  -18.3641186       3.81255984       4.52981424       1.00000000    
  -18.3601189       3.83069944       4.53993988       1.00000000    
  -18.3561192       3.84887934       4.55006123       1.00000000    
  -18.3521194       3.86709976       4.56017780       1.00000000    
  -18.3481197       3.88536072       4.57029009       1.00000000    
  -18.3441200       3.90366220       4.58039808       1.00000000    
  -18.3401203       3.92200398       4.59050131       1.00000000    
  -18.3361206       3.94038630       4.60060024       1.00000000    
  -18.3321209       3.95880890       4.61069441       1.00000000    
  -18.3281212       3.97727180       4.62078428       1.00000000    
  -18.3241215       3.99577522       4.63086939       1.00000000    
  -18.3201218       4.01431894       4.64095020       1.00000000    
  -18.3161221       4.03290272       4.65102673       1.00000000    
  -18.3121223       4.05152702       4.66109848       1.00000000    
  -18.3081226       4.07019138       4.67116594       1.00000000    
  -18.3041229       4.08889627       4.68122864       1.00000000    
  -18.3001232       4.10764122       4.69128704       1.00000000    
  -18.2961235       4.12642670       4.70134115       1.00000000    
  -18.2921238       4.14525223       4.71139050       1.00000000    
  -18.2881241       4.16411781       4.72143555       1.00000000    
  -18.2841244       4.18302345       4.73147583       1.00000000    
  -18.2801247       4.20196962       4.74151182       1.00000000    
  -18.2761250       4.22095585       4.75154352       1.00000000    
  -18.2721252       4.23998213       4.76157045       1.00000000    
  -18.2681255       4.25904846       4.77159309       1.00000000    
  -18.2641258       4.27815485       4.78161097       1.00000000    
  -18.2601261       4.29730129       4.79162455       1.00000000    
  -18.2561264       4.31648779       4.80163383       1.00000000    
  -18.2521267       4.33571434       4.81163836       1.00000000    
  -18.2481270       4.35498095       4.82163858       1.00000000    
  -18.2441273       4.37428761       4.83163452       1.00000000    
